;von;bis;;
Datum:;28.03.2025;28.03.2025;;
Enthalt Z;22;22;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1448,00;97,74 %;
Auslagen;;;0,00;0,00 %;
Bedienungsgeld;;;0,00;0,00 %;
Trinkgeld;;;33,50;2,26 %;
;;;;
Umsatz (Brutto);;;;;
19.000%;;;1388,00;95,86 %;
0.000%;;;60,00;4,14 %;
Total;;;1448,00;100,00 %;
;;;;
Umsatz (Netto);;;;;
19.000%;;;1166,40;95,11 %;
0.000%;;;60,00;4,89 %;
Total;;;1226,40;100,00 %;
;;;;
Steuern;;;;;
19.000%;;;221,60;100,00 %;
0.000%;;;0,00;0,00 %;
Total;;;221,60;100,00 %;
;;;;
Zahlungsarten;;;;;
Bar;;5;282,00;19,48 %;15,00
Maestro;;3;139,00;9,60 %;8,00
MasterCard;;1;42,00;2,90 %;0,00
Visa;;4;163,50;11,29 %;10,50
Visa Electron;;1;821,50;56,73 %;0,00
Total;;14;1448,00;100,00 %;33,50
;;;;
Steuern nach Zahlungsarten;;;;;
Bar - 19.00%;;;45,01;20,31 %;
Maestro - 19.00%;;;22,19;10,01 %;
MasterCard - 19.00%;;;6,71;3,03 %;
Visa - 19.00%;;;26,11;11,78 %;
Visa Electron - 0.00%;;;0,00;0,00 %;
Visa Electron - 19.00%;;;121,58;54,86 %;
;;;;
Umsatzdetails;;;;;
Chef;;;1448,00;100,00 %;33,50
Total;;;1448,00;100,00 %;33,50
;;;;
Stornos;;;;;
Training/Testbuchung;;6;52,50;55,56 %;
vertippt;;4;24,00;25,40 %;
Änderung durch Gast;;6;18,00;19,05 %;
Total;;16;94,50;100,00 %;
;;;;
Rabatte;;;;;
Total;;0;0,00;100,00 %;
;;;;
Tische;;;;;
Tisch 1;;2;986,50;68,13 %;
Tisch 13;;2;33,00;2,28 %;
Tisch 2;;4;203,00;14,02 %;
Tisch 4;;4;167,50;11,57 %;
Tisch 5;;2;58,00;4,01 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;198;1388,00;95,86 %;;198;1388,00;;0;0,00
Sonstiges;;4;60,00;4,14 %;;4;60,00;;0;0,00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Bier | Wein | Sekt | Shots;;80;285,00;19,68 %;;80;285,00;;0;0,00
Die Rummacher;;21;240,00;16,57 %;;21;240,00;;0;0,00
Longdrinks;;24;214,00;14,78 %;;24;214,00;;0;0,00
Die Sonderbaren;;13;149,00;10,29 %;;13;149,00;;0;0,00
Die Ginspirierten;;13;136,50;9,43 %;;13;136,50;;0;0,00
Veni Vidi Vodka;;10;108,00;7,46 %;;10;108,00;;0;0,00
Die Schlank Schlürfer;;13;104,00;7,18 %;;13;104,00;;0;0,00
Wertgutscheine;;4;60,00;4,14 %;;4;60,00;;0;0,00
Die Katerfreien;;9;56,00;3,87 %;;9;56,00;;0;0,00
Lächle, es gibt Whiskey;;5;55,00;3,80 %;;5;55,00;;0;0,00
Softgetränke;;10;40,50;2,80 %;;10;40,50;;0;0,00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Radeberger Pils 0,33l;0;67;201,00;13,88 %;;67;201,00;;0;0,00
Gin Tonic;0;11;110,00;7,60 %;;11;110,00;;0;0,00
Tropical Sniki Tiki;0;6;81,00;5,59 %;;6;81,00;;0;0,00
Adam küsst Eva;0;7;77,00;5,32 %;;7;77,00;;0;0,00
Summertime Cheesecake;0;6;72,00;4,97 %;;6;72,00;;0;0,00
Divers. Bier | Wein | Sekt | Shots;0;7;61,00;4,21 %;;7;61,00;;0;0,00
Basil Smash;0;6;60,00;4,14 %;;6;60,00;;0;0,00
Wertgutschein;0;4;60,00;4,14 %;;4;60,00;;0;0,00
Cuba Libre Havana Club;0;7;56,00;3,87 %;;7;56,00;;0;0,00
Espresso Martini;0;4;44,00;3,04 %;;4;44,00;;0;0,00
Solero;0;5;35,00;2,42 %;;5;35,00;;0;0,00
Elder Rum Punch;0;3;33,00;2,28 %;;3;33,00;;0;0,00
Rhabarber Gin Fizz;0;3;33,00;2,28 %;;3;33,00;;0;0,00
Pink and very stormy;0;3;33,00;2,28 %;;3;33,00;;0;0,00
Lilletless Berry;0;4;32,00;2,21 %;;4;32,00;;0;0,00
Aperolles Sprizz;0;4;32,00;2,21 %;;4;32,00;;0;0,00
BeGINning of Weekend;0;3;30,00;2,07 %;;3;30,00;;0;0,00
Dark 'n' Stormy;0;3;30,00;2,07 %;;3;30,00;;0;0,00
Divers. Veni Vidi Vodka;0;3;30,00;2,07 %;;3;30,00;;0;0,00
Caipirinha;0;3;30,00;2,07 %;;3;30,00;;0;0,00
Eastern Breeze;0;2;24,00;1,66 %;;2;24,00;;0;0,00
Divers. Softgetränke;0;3;24,00;1,66 %;;3;24,00;;0;0,00
Aperol Sprizz;0;3;24,00;1,66 %;;3;24,00;;0;0,00
Ginless Tonic;0;3;24,00;1,66 %;;3;24,00;;0;0,00
Wildberry Lillet;0;3;24,00;1,66 %;;3;24,00;;0;0,00
Tennessee Buck;0;2;22,00;1,52 %;;2;22,00;;0;0,00
Cuba no Libre;0;2;16,00;1,10 %;;2;16,00;;0;0,00
Mai Tai Boxed;0;1;14,00;0,97 %;;1;14,00;;0;0,00
Ginspiriert Matcha;0;1;13,50;0,93 %;;1;13,50;;0;0,00
Big Brother of Moscow Mule;0;1;12,00;0,83 %;;1;12,00;;0;0,00
Maple Apple Whiskey Sour;0;1;11,00;0,76 %;;1;11,00;;0;0,00
Weissburgunder 0,2l;0;2;11,00;0,76 %;;2;11,00;;0;0,00
Divers. Die Rummacher;0;1;10,00;0,69 %;;1;10,00;;0;0,00
Moscow Mule;0;1;10,00;0,69 %;;1;10,00;;0;0,00
Whiskey Sour;0;1;10,00;0,69 %;;1;10,00;;0;0,00
Radeberger Pils alkfrei 0,33l;0;3;9,00;0,62 %;;3;9,00;;0;0,00
Mojito;0;1;9,00;0,62 %;;1;9,00;;0;0,00
Soda 0,2l;0;4;8,00;0,55 %;;4;8,00;;0;0,00
Virgin Pink Stormy;0;1;7,00;0,48 %;;1;7,00;;0;0,00
Moscito;0;1;7,00;0,48 %;;1;7,00;;0;0,00
Apple Ginger Fizz;0;1;7,00;0,48 %;;1;7,00;;0;0,00
Tonic Water 0,2l;0;2;6,00;0,41 %;;2;6,00;;0;0,00
Kölsch für gute Freunde 0,2l;0;1;3,00;0,21 %;;1;3,00;;0;0,00
Coca Cola 0,2l;0;1;2,50;0,17 %;;1;2,50;;0;0,00
Divers. Die Katerfreien;0;1;0,00;0,00 %;;1;0,00;;0;0,00
;;;;
